"Trust funds and special-purpose programmes" "Outflows from trust funds and special-purpose programmes administered by multilateral organisations are not included in the multilateral public component"
"MDB Methodologies" "A set International Development  Association  IDA  +.%  Islamic Development Bank  IsDB  +.%  Nordic Investment Bank  NIB  +.%  OPEC Fund for International  Development  OFID  +.%  Other Multilateral Development  Banks  OMDBS  +.%"
"Multilateral Investment Guarantee Agency (MIGA)" "An agency of the World Bank Group that provides political risk insurance and credit enhancement guarantees to investors and lenders"
"North American Development Bank (NADB)" "A financial institution established by the governments of the United States and Mexico to finance environmental infrastructure projects along the U.S.-Mexico border"
"Private Infrastructure Development Group (PIDG)" "An international finance institution that provides risk capital and technical assistance to infrastructure projects other international organisations"
"Officially-supported export credits" "Loans extended directly by export credit agencies (ECAs) or private loans guaranteed (or insured) by ECAs with a repayment term of two years or more"
"ECG database" "Database on officially-supported export credits maintained by the OECD Export Credit Group"
"Arrangement on Officially Supported Export Credits (OECD)" "International agreement that sets out the rules and procedures for officially-supported export credits"
Stakeholder "A person or group that has an interest in the success of a business or project"
Consultations "A discussion between two or more people or groups"
"Syndicated loans" "Loans provided by a group of lenders (called a syndicate) who work together to provide funds to a single borrower"
"Shares in CIVs" "Investments in pooling vehicles, exchange rates for some of the MDBs’ mobilised private finance"
"Mobilised Private Finance" "Money from private sources that is used to fund activities that help reduce the effects of climate change"
"DAC Rio Marker" "A system used by the OECD Development Assistance Committee to identify and track climate-related activities"
"International Development Association (IDA)" "An international financial institution that provides concessional loans and grants to the world's poorest countries"
"Inter-American Development Bank (IADB)" "A regional development bank established to help accelerate economic and social development in Latin America and the Caribbean"
"IDB Invest" "A private sector institution of the Inter-American Development Bank Group that provides financing and advisory services to the private sector in Latin America and the Caribbean"
"Non-Annex I Parties" "Countries that are not part of the Annex I of the United Nations Framework Convention on Climate Change (UNFCCC). These countries are not required to reduce their emissions of greenhouse gases"
"ODA Recipients" "Countries that receive Official Development Assistance (ODA) from developed countries. ODA is aid given by governments to support economic"
"M Standard" "A United Nations standard for the classification of countries and territories"
"DAC Regional Groupings" "A classification system used by the Organisation for Economic Co-operation and Development (OECD) to group countries and territories by region"
GNI "Gross National Income, the total value of all goods and services produced by a country in a year"
"Income Groups" "A classification system used by the World Bank to categorize countries and territories based on their gross national income per capita"
"Low-Income Countries and Territories (LICs)" "Countries and territories with a gross national income per capita of less than $,"
"Lower-Middle Income Countries and Territories (LMICs)" "Countries and"
"Climate finance" "Money used to fund activities that reduce the effects of climate change or help people adapt to it"
"Development finance" "Money used to fund activities that promote economic and social development"
Climate "The average weather conditions, including temperature, precipitation, humidity, wind, etc., over a long period of time in a given region"
"Climate-related Development Finance" "Financial resources used to support activities that address climate change, such as renewable energy, energy efficiency, and adaptation"
"CRS Reporting Standards" "Common Reporting Standards, a set of guidelines used to report climate-related development finance data"
DAC "Development Assistance Committee, a committee of the Organisation"
"Bilateral Public Climate Finance" "Money provided by one country to another to support activities that reduce emissions of greenhouse gases or help countries adapt to the impacts of climate change"
"Non-Concessional Bilateral Climate Finance" "Money provided by one country to another to support activities that reduce emissions of greenhouse gases or help countries adapt to the impacts"
"Bilateral Development Finance" "Financial assistance provided by one country to another, usually in the form of grants or loans"
"Multilateral Development Finance" "Financial assistance provided by multiple countries to a single country, usually in the form of grants or loans"
AfDB "African Development Bank, a financial institution that works to reduce poverty and improve living standards in Africa"
Allianz "A global financial services company"
"Climate Action Tracker" "An independent scientific analysis to track government action on climate change"
"Climate Watch" "A platform that provides access to climate data and policies from around the world"
Coface "A global credit insurance company that provides country risk assessment maps"
Leiter "A surname of German origin"
Levine "A surname of Jewish origin"
"Rio Marker Data" "Data collected from the  United Nations Conference on Environment and Development (UNCED) in Rio de Janeiro, Brazil"
"States of Fragility" "A report published by the OECD that assesses the fragility of countries and their ability to respond to shocks and stresses"
"Transition Finance ABC Methodology" "A methodology developed"
"OECD-DAC (Organisation for Economic Co-operation and Development-Development Assistance Committee)" "An intergovernmental organization that works to promote economic development and world trade"
"CRS (Creditor Reporting System)" "A system used by the OECD-DAC to collect and report data on international aid flows"
"UN DESA (United Nations Department of Economic and Social Affairs)" "A department of the United Nations that works to promote economic and social development"
"UNFCCC SCF (United Nations Framework Convention on Climate Change Standing Committee on Finance)" "A committee established by the UNFCCC to provide guidance on the mobilization of climate finance"
"UNSD (United Nations Statistics Division)" "A division of the United Nations that is responsible for the collection, compilation, and dissemination of global statistical information"
"Vallejo, L. ()" "A paper written by L. Vallejo in  that provides insights"
